2022-06-21T23:00:07.647985608Z stderr F I0621 23:00:07.646904       1 serving.go:348] Generated self-signed cert in-memory
2022-06-21T23:00:19.497828236Z stderr F W0621 23:00:19.497226       1 authentication.go:346] Error looking up in-cluster authentication configuration: Get "https://172.18.0.5:6443/api/v1/namespaces/kube-system/configmaps/extension-apiserver-authentication": net/http: TLS handshake timeout
2022-06-21T23:00:19.497946702Z stderr F W0621 23:00:19.497352       1 authentication.go:347] Continuing without authentication configuration. This may treat all requests as anonymous.
2022-06-21T23:00:19.497963144Z stderr F W0621 23:00:19.497400       1 authentication.go:348] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2022-06-21T23:00:28.832672529Z stderr F I0621 23:00:28.832374       1 server.go:147] "Starting Kubernetes Scheduler" version="v1.24.0"
2022-06-21T23:00:28.832833906Z stderr F I0621 23:00:28.832541       1 server.go:149] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2022-06-21T23:00:28.857973405Z stderr F I0621 23:00:28.857569       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2022-06-21T23:00:28.860550242Z stderr F I0621 23:00:28.857708       1 shared_informer.go:255] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2022-06-21T23:00:28.870120109Z stderr F I0621 23:00:28.869731       1 secure_serving.go:210] Serving securely on 127.0.0.1:10259
2022-06-21T23:00:28.872429846Z stderr F I0621 23:00:28.872155       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2022-06-21T23:00:28.964051483Z stderr F W0621 23:00:28.963757       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csidrivers" in API group "storage.k8s.io" at the cluster scope
2022-06-21T23:00:28.964323707Z stderr F E0621 23:00:28.964131       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.CSIDriver: failed to list *v1.CSIDriver: csidrivers.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csidrivers" in API group "storage.k8s.io" at the cluster scope
2022-06-21T23:00:28.964978739Z stderr F W0621 23:00:28.964708       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User "system:kube-scheduler" cannot list resource "replicationcontrollers" in API group "" at the cluster scope
2022-06-21T23:00:28.965017459Z stderr F E0621 23:00:28.964801       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.ReplicationController: failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User "system:kube-scheduler" cannot list resource "replicationcontrollers" in API group "" at the cluster scope
2022-06-21T23:00:28.970336458Z stderr F W0621 23:00:28.970094       1 reflector.go:324] vendor/k8s.io/client-go/informers/factory.go:134: failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
2022-06-21T23:00:28.970377149Z stderr F E0621 23:00:28.970217       1 reflector.go:138] vendor/k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StatefulSet: failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
